year,problem_num,mean_score
1959,p1,2.7777777777777777
1959,p2,6.111111111111111
1959,p3,4.222222222222222
1959,p4,2.111111111111111
1959,p5,1.4444444444444442
1959,p6,2.5555555555555554
1960,p1,3.8
1960,p2,2.6
1960,p3,1.1999999999999997
1960,p4,3.6
1960,p5,1.8
1960,p6,1.6999999999999997
1961,p1,3.2222222222222223
1961,p2,3.111111111111111
1961,p3,2.5555555555555554
1961,p4,2.6666666666666665
1961,p5,3
1961,p6,1.8888888888888888
1962,p1,5.411764705882353
1962,p2,4.529411764705882
1962,p3,4.882352941176471
1962,p4,3.9411764705882355
1962,p5,4.176470588235294
1962,p6,2.2352941176470593
1963,p1,3.5
1963,p2,3.25
1963,p3,1.9375
1963,p4,1.375
1963,p5,2.375
1963,p6,6.0625
1964,p1,5.235294117647059
1964,p2,3.2941176470588243
1964,p3,5.0588235294117645
1964,p4,2.4705882352941178
1964,p5,3.647058823529412
1964,p6,5.823529411764706
1965,p1,2.7375000000000003
1965,p2,2.6999999999999984
1965,p3,4.024999999999998
1965,p4,4.1875
1965,p5,3.787500000000002
1965,p6,2.75
1966,p1,5.333333333333333
1966,p2,6.037037037037036
1966,p3,4.666666666666666
1966,p4,4.703703703703703
1966,p5,5
1966,p6,7.333333333333334
1967,p1,3.72972972972973
1967,p2,4.054054054054053
1967,p3,3.324324324324325
1967,p4,4.243243243243244
1967,p5,3.5675675675675667
1967,p6,5.054054054054053
1968,p1,4.428571428571427
1968,p2,6.065934065934066
1968,p3,4.043956043956044
1968,p4,3.5714285714285725
1968,p5,4.593406593406591
1968,p6,5.31868131868132
1969,p1,2.553571428571427
1969,p2,4.366071428571427
1969,p3,4.196428571428573
1969,p4,2.2678571428571423
1969,p5,4.178571428571427
1969,p6,2.4375
1970,p1,3.4857142857142858
1970,p2,5.942857142857143
1970,p3,1.5142857142857151
1970,p4,4.942857142857143
1970,p5,3.3714285714285723
1970,p6,2.400000000000001
1971,p1,2.3214285714285716
1971,p2,1.8928571428571432
1971,p3,0.7857142857142854
1971,p4,2.5
1971,p5,1.3928571428571432
1971,p6,0.5
1972,p1,3.0606060606060597
1972,p2,3.757575757575758
1972,p3,2.333333333333333
1972,p4,4.909090909090909
1972,p5,2.818181818181817
1972,p6,3.87878787878788
1973,p1,2.5760000000000027
1973,p2,2.687999999999999
1973,p3,3.9919999999999978
1973,p4,3.864
1973,p5,3.3759999999999977
1973,p6,1.128
1974,p1,4.514285714285715
1974,p2,3.764285714285712
1974,p3,2.8071428571428623
1974,p4,5.064285714285713
1974,p5,3.100000000000003
1974,p6,3.100000000000004
1975,p1,4.7265625
1975,p2,4.1640625
1975,p3,4.046875
1975,p4,3.4921875
1975,p5,2.8125
1975,p6,2.796875
1976,p1,2.6115107913669067
1976,p2,1.9352517985611486
1976,p3,3.1151079136690654
1976,p4,3.7553956834532354
1976,p5,1.093525179856115
1976,p6,4.589928057553957
1977,p1,5.216216216216216
1977,p2,3.0540540540540544
1977,p3,3.4594594594594597
1977,p4,3.2162162162162153
1977,p5,3.4594594594594597
1977,p6,3.054054054054053
1978,p1,4.4375
1978,p2,2.6041666666666656
1978,p3,3.3125
1978,p4,4.104166666666666
1978,p5,5.166666666666666
1978,p6,0.9166666666666663
1979,p1,1.650602409638556
1979,p2,3.0843373493975896
1979,p3,3.8072289156626526
1979,p4,4.349397590361444
1979,p5,3.126506024096385
1979,p6,3.74698795180723
1981,p1,5.490196078431372
1981,p2,6.274509803921569
1981,p3,5.215686274509803
