continent,year,problem_num,mean_score
Africa,1977,p1,NA
Africa,1977,p2,NA
Africa,1977,p3,NA
Africa,1977,p4,NA
Africa,1977,p5,NA
Africa,1977,p6,NA
Africa,1981,p1,NA
Africa,1981,p2,NA
Africa,1981,p3,NA
Africa,1981,p4,NA
Africa,1981,p5,NA
Africa,1981,p6,NA
Africa,1982,p1,2.142857142857143
Africa,1982,p2,0
Africa,1982,p3,0.5714285714285714
Africa,1982,p4,0.5714285714285715
Africa,1982,p5,1.857142857142857
Africa,1982,p6,0.8571428571428571
Africa,1983,p1,NA
Africa,1983,p2,NA
Africa,1983,p3,NA
Africa,1983,p4,NA
Africa,1983,p5,NA
Africa,1983,p6,NA
Africa,1984,p1,2.625
Africa,1984,p2,1.375
Africa,1984,p3,0.125
Africa,1984,p4,2.9375
Africa,1984,p5,0.4375
Africa,1984,p6,0.0625
Africa,1985,p1,2.5
Africa,1985,p2,2.25
Africa,1985,p3,0.0625
Africa,1985,p4,1.875
Africa,1985,p5,1.25
Africa,1985,p6,0.9375
Africa,1986,p1,2.666666666666667
Africa,1986,p2,5.333333333333334
Africa,1986,p3,0.3888888888888889
Africa,1986,p4,2.0555555555555554
Africa,1986,p5,3.666666666666667
Africa,1986,p6,0.05555555555555554
Africa,1987,p1,1.5
Africa,1987,p2,4.083333333333334
Africa,1987,p3,0.08333333333333334
Africa,1987,p4,2.416666666666667
Africa,1987,p5,1.5833333333333333
Africa,1987,p6,0.08333333333333333
Africa,1988,p1,4.133333333333334
Africa,1988,p2,1.5333333333333334
Africa,1988,p3,0.4666666666666667
Africa,1988,p4,2.333333333333333
Africa,1988,p5,2.4
Africa,1988,p6,0.5333333333333334
Africa,1989,p1,0.9166666666666666
Africa,1989,p2,4.916666666666667
Africa,1989,p3,0.16666666666666663
Africa,1989,p4,2.3333333333333335
Africa,1989,p5,2.583333333333333
Africa,1989,p6,1.0833333333333335
Africa,1990,p1,2.384615384615384
Africa,1990,p2,1.923076923076923
Africa,1990,p3,2.076923076923077
Africa,1990,p4,2.5384615384615383
Africa,1990,p5,2.153846153846154
Africa,1990,p6,0.8461538461538461
Africa,1991,p1,3.125
Africa,1991,p2,2.8125
Africa,1991,p3,1.375
Africa,1991,p4,1.5
Africa,1991,p5,1.9375
Africa,1991,p6,0.125
Africa,1992,p1,2.5625
Africa,1992,p2,1.9375
Africa,1992,p3,0.4375
Africa,1992,p4,1.6875
Africa,1992,p5,0.1875
Africa,1992,p6,1.3125
Africa,1993,p1,1.058823529411765
Africa,1993,p2,0.47058823529411764
Africa,1993,p3,0.05882352941176469
Africa,1993,p4,1.8235294117647058
Africa,1993,p5,1.352941176470588
Africa,1993,p6,0.41176470588235303
Africa,1994,p1,1.8333333333333335
Africa,1994,p2,6.333333333333333
Africa,1994,p3,2.333333333333333
Africa,1994,p4,3.916666666666667
Africa,1994,p5,3.6666666666666665
Africa,1994,p6,0.6666666666666667
Africa,1995,p1,7
Africa,1995,p2,2.416666666666667
Africa,1995,p3,2.083333333333333
Africa,1995,p4,5
Africa,1995,p5,2.083333333333333
Africa,1995,p6,0.8333333333333334
Africa,1996,p1,1.5833333333333335
Africa,1996,p2,0.8333333333333334
Africa,1996,p3,1.6666666666666665
Africa,1996,p4,0.9166666666666665
Africa,1996,p5,0
Africa,1996,p6,0.75
Africa,1997,p1,2.1875
Africa,1997,p2,2.25
Africa,1997,p3,0.5625
Africa,1997,p4,1.875
Africa,1997,p5,1.875
Africa,1997,p6,0.25
Africa,1998,p1,2.3333333333333335
Africa,1998,p2,1.75
Africa,1998,p3,1
Africa,1998,p4,3.583333333333333
Africa,1998,p5,3
Africa,1998,p6,0
Africa,1999,p1,3.875
Africa,1999,p2,0.75
Africa,1999,p3,0.75
Africa,1999,p4,1.8125
Africa,1999,p5,1.1875
Africa,1999,p6,0.8125
Africa,2000,p1,4.75
Africa,2000,p2,2.5
Africa,2000,p3,0.08333333333333331
Africa,2000,p4,2.416666666666667
Africa,2000,p5,0.6666666666666667
Africa,2000,p6,0.33333333333333337
Africa,2001,p1,2.611111111111111
Africa,2001,p2,1.2777777777777775
Africa,2001,p3,0.2777777777777778
Africa,2001,p4,2.166666666666667
Africa,2001,p5,2.0555555555555554
Africa,2001,p6,0.27777777777777785
Africa,2002,p1,1.6666666666666667
Africa,2002,p2,2.833333333333333
Africa,2002,p3,0.16666666666666666
Africa,2002,p4,1.8888888888888886
Africa,2002,p5,1.8333333333333335
Africa,2002,p6,0
Africa,2003,p1,1.3333333333333335
Africa,2003,p2,1.25
Africa,2003,p3,0
Africa,2003,p4,4.916666666666667
Africa,2003,p5,1.0833333333333335
Africa,2003,p6,0
Africa,2004,p1,3.5714285714285707
Africa,2004,p2,1.8095238095238093
Africa,2004,p3,0.4761904761904761
Africa,2004,p4,3.0476190476190474
Africa,2004,p5,2.238095238095238
Africa,2004,p6,0.3809523809523809
Africa,2005,p1,0.5
Africa,2005,p2,1.5499999999999998
Africa,2005,p3,0
Africa,2005,p4,0.9499999999999998
Africa,2005,p5,0.25
Africa,2005,p6,0.15000000000000005
Africa,2006,p1,2.8571428571428568
